dutch,english
du,you
er,he
sie,she
es,it
wir,we
ihr,"you (plural, informal)"
sie,they/you (formal)
mein,my
dein,your
sein,his
ihr,her
unser,our
euer,"your (plural, informal)"
ihr,their/your (formal
Mann,man
Frau,woman
Kind,child
Mädchen,girl
Junge,boy
Haus,house
sein,to be
habe,to have
gehen,to go
wollen,to want
essen,to eat
trinken,to drink
schlafen,to sleep
sprechen,to speak
schreiben,to write
hören,to listen
können,to be able to (can)
lernen,to learn
wer,who
wie,how
wo,where
wann,when
was,what
warum,why
weshalb,why
klein,small
gross,big
alt,old
jung,young
schön,beautiful
wundervoll,wonderful
hässlich,ugly
nah,close
weit,far
kalt,cold
warm,warm
Hallo,hello
Guten Morgen,good morning
Guten Tag,"hello, welcome, greetings"
Guten Abend,good evening
Gute Nacht,good night
Tschüss,goodbye (informal)
Auf Wiedersehen,goodbye (formal)
Bis bald,see you later
